hari_ke,tanggal_lengkap,cabe_rawit_merah,lag_1,lag_3,lag_7,ma_7
8,2023-01-08,85000.0,85000.0,85000.0,80000.0,83285.71428571429
9,2023-01-09,85000.0,85000.0,85000.0,80000.0,84000.0
10,2023-01-10,85000.0,85000.0,85000.0,80000.0,84714.28571428571
11,2023-01-11,85000.0,85000.0,85000.0,83000.0,85000.0
12,2023-01-12,85000.0,85000.0,85000.0,85000.0,85000.0
13,2023-01-13,88000.0,85000.0,85000.0,85000.0,85428.57142857143
14,2023-01-14,88000.0,88000.0,85000.0,85000.0,85857.14285714286
15,2023-01-15,75000.0,88000.0,85000.0,85000.0,84428.57142857143
16,2023-01-16,75000.0,75000.0,88000.0,85000.0,83000.0
17,2023-01-17,75000.0,75000.0,88000.0,85000.0,81571.42857142857
18,2023-01-18,75000.0,75000.0,75000.0,85000.0,80142.85714285714
19,2023-01-19,75000.0,75000.0,75000.0,85000.0,78714.28571428571
20,2023-01-20,73000.0,75000.0,75000.0,88000.0,76571.42857142857
21,2023-01-21,73000.0,73000.0,75000.0,88000.0,74428.57142857143
22,2023-01-22,70000.0,73000.0,75000.0,75000.0,73714.28571428571
23,2023-01-23,70000.0,70000.0,73000.0,75000.0,73000.0
24,2023-01-24,70000.0,70000.0,73000.0,75000.0,72285.71428571429
25,2023-01-25,70000.0,70000.0,70000.0,75000.0,71571.42857142857
26,2023-01-26,70000.0,70000.0,70000.0,75000.0,70857.14285714286
27,2023-01-27,70000.0,70000.0,70000.0,73000.0,70428.57142857143
28,2023-01-28,70000.0,70000.0,70000.0,73000.0,70000.0
29,2023-01-29,70000.0,70000.0,70000.0,70000.0,70000.0
30,2023-01-30,75000.0,70000.0,70000.0,70000.0,70714.28571428571
31,2023-01-31,70000.0,75000.0,70000.0,70000.0,70714.28571428571
32,2023-02-01,50000.0,70000.0,70000.0,70000.0,67857.14285714286
33,2023-02-02,50000.0,50000.0,75000.0,70000.0,65000.0
34,2023-02-03,45000.0,50000.0,70000.0,70000.0,61428.57142857143
35,2023-02-04,45000.0,45000.0,50000.0,70000.0,57857.142857142855
36,2023-02-05,45000.0,45000.0,50000.0,70000.0,54285.71428571428
37,2023-02-06,55000.0,45000.0,45000.0,75000.0,51428.57142857143
38,2023-02-07,56000.0,55000.0,45000.0,70000.0,49428.57142857143
39,2023-02-08,50000.0,56000.0,45000.0,50000.0,49428.57142857143
40,2023-02-09,50000.0,50000.0,55000.0,50000.0,49428.57142857143
41,2023-02-10,50000.0,50000.0,56000.0,45000.0,50142.857142857145
42,2023-02-11,50000.0,50000.0,50000.0,45000.0,50857.142857142855
43,2023-02-12,50000.0,50000.0,50000.0,45000.0,51571.42857142857
44,2023-02-13,60000.0,50000.0,50000.0,55000.0,52285.71428571428
45,2023-02-14,56000.0,60000.0,50000.0,56000.0,52285.71428571428
46,2023-02-15,56000.0,56000.0,50000.0,50000.0,53142.857142857145
47,2023-02-16,56000.0,56000.0,60000.0,50000.0,54000.0
48,2023-02-17,56000.0,56000.0,56000.0,50000.0,54857.142857142855
49,2023-02-18,56000.0,56000.0,56000.0,50000.0,55714.28571428572
50,2023-02-19,56000.0,56000.0,56000.0,50000.0,56571.42857142857
51,2023-02-20,56000.0,56000.0,56000.0,60000.0,56000.0
52,2023-02-21,56000.0,56000.0,56000.0,56000.0,56000.0
53,2023-02-22,57000.0,56000.0,56000.0,56000.0,56142.857142857145
54,2023-02-23,62000.0,57000.0,56000.0,56000.0,57000.0
55,2023-02-24,62000.0,62000.0,56000.0,56000.0,57857.142857142855
56,2023-02-25,62000.0,62000.0,57000.0,56000.0,58714.28571428572
57,2023-02-26,55000.0,62000.0,62000.0,56000.0,58571.42857142857
58,2023-02-27,55000.0,55000.0,62000.0,56000.0,58428.57142857143
59,2023-02-28,55000.0,55000.0,62000.0,56000.0,58285.71428571428
60,2023-03-01,55000.0,55000.0,55000.0,57000.0,58000.0
61,2023-03-02,55000.0,55000.0,55000.0,62000.0,57000.0
62,2023-03-03,70000.0,55000.0,55000.0,62000.0,58142.857142857145
63,2023-03-04,70000.0,70000.0,55000.0,62000.0,59285.71428571428
64,2023-03-05,70000.0,70000.0,55000.0,55000.0,61428.57142857143
65,2023-03-06,70000.0,70000.0,70000.0,55000.0,63571.42857142857
66,2023-03-07,70000.0,70000.0,70000.0,55000.0,65714.28571428571
67,2023-03-08,70000.0,70000.0,70000.0,55000.0,67857.14285714286
68,2023-03-09,70000.0,70000.0,70000.0,55000.0,70000.0
69,2023-03-10,70000.0,70000.0,70000.0,70000.0,70000.0
70,2023-03-11,70000.0,70000.0,70000.0,70000.0,70000.0
71,2023-03-12,70000.0,70000.0,70000.0,70000.0,70000.0
72,2023-03-13,75000.0,70000.0,70000.0,70000.0,70714.28571428571
73,2023-03-14,75000.0,75000.0,70000.0,70000.0,71428.57142857143
74,2023-03-15,73000.0,75000.0,70000.0,70000.0,71857.14285714286
75,2023-03-16,73000.0,73000.0,75000.0,70000.0,72285.71428571429
76,2023-03-17,73000.0,73000.0,75000.0,70000.0,72714.28571428571
77,2023-03-18,70000.0,73000.0,73000.0,70000.0,72714.28571428571
78,2023-03-19,70000.0,70000.0,73000.0,70000.0,72714.28571428571
79,2023-03-20,75000.0,70000.0,73000.0,75000.0,72714.28571428571
80,2023-03-21,75000.0,75000.0,70000.0,75000.0,72714.28571428571
81,2023-03-22,75000.0,75000.0,70000.0,73000.0,73000.0
82,2023-03-23,75000.0,75000.0,75000.0,73000.0,73285.71428571429
83,2023-03-24,70000.0,75000.0,75000.0,73000.0,72857.14285714286
84,2023-03-25,70000.0,70000.0,75000.0,70000.0,72857.14285714286
85,2023-03-26,70000.0,70000.0,75000.0,70000.0,72857.14285714286
86,2023-03-27,45000.0,70000.0,70000.0,75000.0,68571.42857142857
87,2023-03-28,30000.0,45000.0,70000.0,75000.0,62142.857142857145
88,2023-03-29,45000.0,30000.0,70000.0,75000.0,57857.142857142855
89,2023-03-30,45000.0,45000.0,45000.0,75000.0,53571.42857142857
90,2023-03-31,45000.0,45000.0,30000.0,70000.0,50000.0
91,2023-04-01,25000.0,45000.0,45000.0,70000.0,43571.42857142857
92,2023-04-02,25000.0,25000.0,45000.0,70000.0,37142.857142857145
93,2023-04-03,25000.0,25000.0,45000.0,45000.0,34285.71428571428
94,2023-04-04,24000.0,25000.0,25000.0,30000.0,33428.57142857143
95,2023-04-05,20000.0,24000.0,25000.0,45000.0,29857.14285714286
96,2023-04-06,20000.0,20000.0,25000.0,45000.0,26285.714285714286
97,2023-04-07,20000.0,20000.0,24000.0,45000.0,22714.285714285714
98,2023-04-08,28000.0,20000.0,20000.0,25000.0,23142.85714285714
99,2023-04-09,28000.0,28000.0,20000.0,25000.0,23571.428571428572
100,2023-04-10,30000.0,28000.0,20000.0,25000.0,24285.714285714286
101,2023-04-11,30000.0,30000.0,28000.0,24000.0,25142.85714285714
102,2023-04-12,27000.0,30000.0,28000.0,20000.0,26142.85714285714
103,2023-04-13,27000.0,27000.0,30000.0,20000.0,27142.85714285714
104,2023-04-14,27000.0,27000.0,30000.0,20000.0,28142.85714285714
105,2023-04-15,30000.0,27000.0,27000.0,28000.0,28428.571428571428
106,2023-04-16,30000.0,30000.0,27000.0,28000.0,28714.285714285714
107,2023-04-17,28000.0,30000.0,27000.0,30000.0,28428.571428571428
108,2023-04-18,28000.0,28000.0,30000.0,30000.0,28142.85714285714
109,2023-04-19,28000.0,28000.0,30000.0,27000.0,28285.714285714286
110,2023-04-20,28000.0,28000.0,28000.0,27000.0,28428.571428571428
111,2023-04-21,28000.0,28000.0,28000.0,27000.0,28571.428571428572
112,2023-04-22,28000.0,28000.0,28000.0,30000.0,28285.714285714286
113,2023-04-23,28000.0,28000.0,28000.0,30000.0,28000.0
114,2023-04-24,28000.0,28000.0,28000.0,28000.0,28000.0
115,2023-04-25,28000.0,28000.0,28000.0,28000.0,28000.0
116,2023-04-26,25000.0,28000.0,28000.0,28000.0,27571.428571428572
117,2023-04-27,25000.0,25000.0,28000.0,28000.0,27142.85714285714
118,2023-04-28,25000.0,25000.0,28000.0,28000.0,26714.285714285714
119,2023-04-29,30000.0,25000.0,25000.0,28000.0,27000.0
120,2023-04-30,28000.0,30000.0,25000.0,28000.0,27000.0
121,2023-05-01,25000.0,28000.0,25000.0,28000.0,26571.428571428572
122,2023-05-02,25000.0,25000.0,30000.0,28000.0,26142.85714285714
123,2023-05-03,25000.0,25000.0,28000.0,25000.0,26142.85714285714
124,2023-05-04,24000.0,25000.0,25000.0,25000.0,26000.0
125,2023-05-05,20000.0,24000.0,25000.0,25000.0,25285.714285714286
126,2023-05-06,20000.0,20000.0,25000.0,30000.0,23857.14285714286
127,2023-05-07,20000.0,20000.0,24000.0,28000.0,22714.285714285714
128,2023-05-08,28000.0,20000.0,20000.0,25000.0,23142.85714285714
129,2023-05-09,28000.0,28000.0,20000.0,25000.0,23571.428571428572
130,2023-05-10,30000.0,28000.0,20000.0,25000.0,24285.714285714286
131,2023-05-11,30000.0,30000.0,28000.0,24000.0,25142.85714285714
132,2023-05-12,27000.0,30000.0,28000.0,20000.0,26142.85714285714
133,2023-05-13,27000.0,27000.0,30000.0,20000.0,27142.85714285714
134,2023-05-14,27000.0,27000.0,30000.0,20000.0,28142.85714285714
135,2023-05-15,30000.0,27000.0,27000.0,28000.0,28428.571428571428
136,2023-05-16,30000.0,30000.0,27000.0,28000.0,28714.285714285714
137,2023-05-17,28000.0,30000.0,27000.0,30000.0,28428.571428571428
138,2023-05-18,28000.0,28000.0,30000.0,30000.0,28142.85714285714
139,2023-05-19,28000.0,28000.0,30000.0,27000.0,28285.714285714286
140,2023-05-20,28000.0,28000.0,28000.0,27000.0,28428.571428571428
